seller,name,public_host,search_types_hit,queries_hit,products,personalized,ucp_tools,webmcp_loader,price_min,price_max,option_names,samples
buchans-kerrisdale-stationery-3461.myshopify.com,Buchan's Kerrisdale Stationery,www.buchanst.com,category; personalization; occasion,stationery_cards; note_cards; monogram_notecards; event_thank_you,15,0,13,true,1695,2250,Alphabet (1),Peter Pauper Press - Boxed Note Cards - Poppies in Bloom | Peter Pauper Press - Owl Portrait Note Cards | PETER PAUPER PRESS - Note Cards | Candy Garden
staples-canada.myshopify.com,Staples,staples-canada.myshopify.com,category; bulk; occasion,stationery_cards; thank_you_bulk; corporate_thank_you,15,0,13,true,1699,8999,Variesby (15),"JAM Paper Recycled Parchment Stationery Set - 25 Cards and 25 A7 Envelopes - Natural - set of 25 | JAM Paper Stationery Set with 100 White Cards and 100 A7 Envelopes, Navy Blue, 100 Sets Pack (304624616g) | Pierre Belvedere Stationery Set - Letter Sheets & Cards - Bonjour"
take-note-stationery-boutique.myshopify.com,Take Note Stationery Boutique,takenoteboutique.ca,category; personalization; occasion,stationery_cards; note_cards; monogram_notecards; foil_cards; event_thank_you,13,0,13,true,1500,2500,,Boxed Notecards - Autumn Grasses | Boxed Premium Thank You - Eucalyptus | Boxed Notecards - Amethyst Butterflies
entershine-bookshop.myshopify.com,Entershine Bookshop,www.entershinebookshop.ca,category; personalization; occasion,stationery_cards; note_cards; monogram_notecards; event_thank_you,11,0,13,true,1299,1499,Title (2),Hummingbird Garden Note Cards | Lighthouse Note Cards | Blue Dragonflies Note Cards
91cb25-c5.myshopify.com,Fort + Company ,fortandcompany.ca,category; personalization; occasion,thank_you_cards; thank_you_personalized; cards_custom_name; corporate_thank_you; event_thank_you,7,4,13,true,1000,1000,,With Gratitude Card | Delft Thank you Card | With Gratitude Card
twentyseventoronto.myshopify.com,Twentyseven,twentyseventoronto.com,category; personalization; bulk,thank_you_cards; stationery_cards; thank_you_personalized; foil_cards; thank_you_bulk,6,1,13,true,3200,4200,,Thanks Fox Thank You Greeting Card Box Set | Shadow Stationery Set | Calypso Stationery Set
316-publishing.myshopify.com,316 Publishing,316publishing.com,category; personalization; bulk,note_cards; monogram_notecards; thank_you_bulk,6,0,13,true,649,1039,,Botanical Blessings Assorted Note Card Set - Set of 12 | Encouraging Truths Assorted Note Cards – Set of 12 | Bright Birthdays Assorted Note Cards – Set of 12
midoco-art-office-supplies.myshopify.com,Midoco Art & Office Supplies,midoco.ca,category; personalization; occasion,stationery_cards; foil_cards; event_thank_you,5,0,13,true,1499,2499,,Cavallini Stationery Set - Wildflowers | Cavallini Stationery Set - Birds | Cavallini Stationery Set - Vintage Cats
d9c260-3.myshopify.com,Wordkind ,wordkind.ca,category; personalization; occasion,stationery_cards; note_cards; monogram_notecards; event_thank_you,5,0,13,true,1299,1299,,Gilded Butterflies Note Cards | Quill Pen and Ink Note Cards | Gilded Butterflies Note Cards
halfpennypostage.myshopify.com,Halfpenny Postage,halfpennypostage.com,category; personalization; bulk,thank_you_cards; thank_you_personalized; cards_custom_name; thank_you_bulk,4,0,13,true,700,700,,Classic Thank You | Classic Thank You | Classic Thank You
phidon.myshopify.com,Phidon Pens,phidon.myshopify.com,category; personalization; bulk,thank_you_cards; thank_you_personalized; foil_cards; thank_you_bulk,4,4,13,true,2095,2095,,TUTTLE Thank You Cards Set - Cherry Blossoms | TUTTLE Thank You Cards Set - Cherry Blossoms | TUTTLE Thank You Cards Set - Cherry Blossoms
k00haq-nq.myshopify.com,The Art of Home,www.theartofhome.ca,category; bulk; occasion,thank_you_cards; thank_you_bulk; corporate_thank_you,4,0,13,true,695,795,,Cherries Thank You Card by Rifle Paper Co. | Bunch of Roses Thank You Card | Prairie Garden Thank You Card by Rifle Paper Co.
alvina-grace-designs.myshopify.com,Cotton Willow Design Co.,www.cottonwillowdesign.com,personalization; occasion; sentence,stationery_personalized; event_thank_you; sentence_cards,4,4,13,true,300,12500,Color (2); Envelope addressing (2),Modern Letterpress Personalized Stationery | Letterpress Personalized Stationery | Elegant Floral
sfgd9w-x0.myshopify.com,Flowerhint,www.flowerhint.com,personalization; bulk; sentence,cards_custom_name; thank_you_bulk; sentence_cards,3,3,13,true,1754,6151,,"Personalized Blue Floral Funeral Thank You Cards with Envelopes, Custom Sympathy Bereavement Acknowledgement Notes with Name and Dates sympathy flower | Personalized Paper Thank You Cards: Eco-Friendly Favors seeds bulk | Boho Arch and Pampas Grass Personalized Wedding Thank You Cards with Message,... Pampas Grass"
exclusive-invites-co.myshopify.com,Exclusive Invites,exclusiveinvites.ca,bulk; occasion; sentence,thank_you_bulk; event_thank_you; sentence_cards,3,0,13,true,1099,1999,Style (3),Thank you Box Sets 50Pk | Thank You Box Sets 14 Card Set | Thank You Box Sets 14 Card Set
lemon-and-lavender-toronto.myshopify.com,Lemon And Lavender Toronto,shop.lemonlavender.com,category; personalization,stationery_cards; monogram_notecards,19,16,13,true,1299,2499,,Tea Time Stationery Set - Cards & Stickers | Monogram Note Cards: I | Butterflies Stationery Set - Cards & Stickers
dearest-nicky.myshopify.com,Dearest Nicky,dearestnicky.com,category; personalization,note_cards; stationery_personalized,8,7,13,true,400,2000,Would you like envelopes? (7); Notepad style (7); Choose with or without envelopes (1),Books and Tea Flat Note Cards - Set of 8 | Flower Filled Envelope Personalized Notepad - 30 sheets | Daisies Personalized Notepad - 30 sheets
artisaire.myshopify.com,Artisaire,artisaire.com,personalization; sentence,thank_you_personalized; foil_cards; sentence_cards,7,5,13,true,310,875,Paper (5); Color (3); Set (2),Scribble Thank You Card | Design Your Own Thank You Card | Evelyn Foilpress Thank You Card
silla-designs.myshopify.com,Silla Designs,silladesigns.com,category; occasion,thank_you_cards; corporate_thank_you; event_thank_you,5,0,13,true,899,7999,,Hydrangea Thank You Card | Hydrangea Thank You Card | Gracie Thank You | Greeting Card
aubmq4-3w.myshopify.com,Paperly Shop,paperlyshop.com,category; personalization,stationery_cards; stationery_personalized,4,4,13,true,6500,7500,Quantity (4); Corners (4),Green Checkered Little Boy Set | Strawberry Gingham Stationery | Butterfly Toile Set
river-bookshop.myshopify.com,River Bookshop,riverbookshop.com,category; personalization,thank_you_cards; thank_you_personalized; cards_custom_name,3,0,13,true,895,895,,Little Card Big Thanks | Little Card Big Thanks | Little Card Big Thanks
17a98d.myshopify.com,Ten Thousand Villages Abbotsford,bcvillages.ca,category; personalization,thank_you_cards; thank_you_personalized; cards_custom_name,3,0,13,true,900,900,,Quilling Cards Vietnam - Thank You Quill & Ink | Quilling Cards Vietnam - Thank You Quill & Ink | Quilling Cards Vietnam - Thank You Quill & Ink
wonderpens.myshopify.com,Wonder Pens,wonderpens.ca,category; personalization,thank_you_cards; note_cards; thank_you_personalized,3,0,13,true,825,2000,,E. Frances Paper - Card - An Ocean of Thanks | E. Frances Paper - 55 Card Set - Whisky Business Little Notes | E. Frances Paper - Card - Colorful Thanks
universal-church-supplies.myshopify.com,Universal Church Supplies Inc,universalchurchsupplies.ca,category; bulk,thank_you_cards; thank_you_bulk,3,0,13,true,1299,1299,,Boxed cards - THANK YOU - Box Of 12 | Boxed cards - THANK YOU - Box Of 12 | Boxed cards - THANK YOU - Box Of 12
mimi-hammer-swimwear.myshopify.com,Mimi & August,mimiandaugust.com,category; personalization,thank_you_cards; thank_you_personalized; cards_custom_name,3,3,13,true,699,699,,Floral Thank You Greeting Card | Floral Thank You Greeting Card | Floral Thank You Greeting Card
tumbled-earth-boutique.myshopify.com,Tumbled Earth,tumbledearth.com,category; personalization,stationery_cards; note_cards; monogram_notecards,3,3,13,true,2400,2400,,Allium Blossoms 14 Note Cards | Allium Blossoms 14 Note Cards | Allium Blossoms 14 Note Cards
the-botanist-calgary.myshopify.com,The Botanist Calgary,www.thebotanistcalgary.com,category; personalization,note_cards; stationery_personalized; monogram_notecards,3,0,13,true,1500,2000,,Monarch Butterflies Note Cards | Butterflies Stationery Set | Monarch Butterflies Note Cards
oleander-floral-design.myshopify.com,Oleander Floral Design,oleander.ca,category; personalization,note_cards; monogram_notecards; foil_cards,3,2,13,true,1500,3100,Design (2),Boxed Blank Note Cards | Boxed Blank Note Cards | Premium Boxed Thank You Card Set
cheerfetti-gift-co.myshopify.com,Cheerfetti Gift Co.,www.cheerfetti.ca,personalization; occasion,thank_you_personalized; cards_custom_name; corporate_thank_you,3,3,13,true,600,600,,Card - Thank you | Card - Thank you | Card - Thank you
canadian-banquet-workshop.myshopify.com,Banquet Atelier & Workshop LTD.,banquetworkshop.com,personalization; occasion,foil_cards; event_thank_you,3,0,13,true,600,600,,Hologram Foil Thank You Card | Thank You Nasturtiums Note Card | Ribbons Thank You  Note Card
josephsinspirational.myshopify.com,Joseph's,www.josephsinspirational.ca,personalization; bulk,foil_cards; thank_you_bulk,3,0,13,true,899,4800,,Gold Foil Blank Thank You Cards (Box of 10) | Thank You Cards (Package of 50) | Gold Foil Blank Thank You Cards (Box of 10)
presents-presents-presents.myshopify.com,Presents Presents Presents,www.presentspresentspresents.ca,category; personalization,stationery_cards; foil_cards,2,0,13,true,1695,1695,,Note Cards- Watercolor Poppies | Note Cards- Floral Sympathy Thank You
paper-queen.myshopify.com,QUEEN & GRACE,www.queenandgrace.com,category; personalization,stationery_cards; stationery_personalized,2,1,13,true,4500,4500,Choose illustration (1); Quantity & price options (1); Quantity (1),Illustrated Social Stationery | 45 Designs | Personalized Heart Stationery
interior-couture-toronto.myshopify.com,Interior Couture,interiorcouture.ca,category; occasion,note_cards; event_thank_you,2,0,13,true,5000,5500,,Gold Heart Letterpress Notecard Set | Pink Dot Thank You Note Set
home-treasures-more.myshopify.com,Home Treasures & More,hometreasures.ca,category; personalization,note_cards; monogram_notecards,2,0,13,true,1299,1299,,Peter Pauper Press 'Tree of Butterflies' Note Cards | Peter Pauper Press 'Tree of Butterflies' Note Cards
classy-cards-creative.myshopify.com,Classy Cards Creative,classycards.ca,category; personalization,note_cards; monogram_notecards,2,2,13,true,1200,1200,,Love Notes - Bestie Collection | Love Notes - Bestie Collection
iydxb3-yb.myshopify.com,Whiskey2Water,whiskey2water.com,personalization; bulk,cards_custom_name; thank_you_bulk,2,2,13,true,2500,2500,Quantity (2),Thank You Cards | Thank You Cards
mararamiro.myshopify.com,Mararamiro,www.mararamiro.com,personalization; occasion,foil_cards; corporate_thank_you,2,1,13,true,1095,1095,,Thank You No. 22 Letterpress Card | Thank You No. 01 Letterpress Card
8175d4.myshopify.com,Lumen Christi Books & Gifts,lumenchristibooks.ca,bulk; sentence,thank_you_bulk; sentence_cards,2,0,13,true,300,3395,,Thank You Cards - One Design - Box of 50 | Thank You for Your Hospitality  Greeting Card by Legacy with Deluxe Envelope
03a8bf-2.myshopify.com,Avenue de la personnalisation,avenuedelapersonnalisation.com,occasion; sentence,event_thank_you; sentence_cards,2,2,13,true,1700,1700,Carte (2),CARTE DE REMERCIEMENT INVITÉ | CARTE DE REMERCIEMENT INVITÉ
d76b99-2.myshopify.com,The Friendly Paper Co.,thefriendlypaperco.com,personalization,thank_you_personalized; cards_custom_name,7,7,13,true,2500,6800,Material (7); Quantity (7),Personalised Thank You Cards | Personalised Thank You Cards | Personalised Thank You Cards
miniature-boutique.myshopify.com,Paper and Clips Co.,miniature-boutique.myshopify.com,personalization,stationery_personalized,6,6,13,false,3695,3695,Notepad style (2); Notecard style (2); Ink color combination (1); Bookmark color selection (1); 4.25x5.5 notepad style (1),Custom Name Stationery Gift Set | Pink Floral Stationery Gift Set | Rainbow Stationery Set
written-word-calligraphy-and-design.myshopify.com,Written Word Calligraphy and Design,written-word-calligraphy-and-design.myshopify.com,personalization,stationery_personalized,6,6,13,true,39800,39800,Number of sets (5); Printing method and color (4); Printing color and method (1); Number of stationery sets (1); Printing color (1),Élan Personalized Stationery | Blanc Personalized Stationery | Serein Personalized Stationery
digitallyposh-com.myshopify.com,Smartly Empowered,www.smartlyempowered.com,personalization,stationery_personalized,6,6,13,true,3600,5700,,Thinking of You Personalized Stationery Set | Personalized Blue Luggage Letterhead | The Confident Beaute Personalized Stationery Set
something-personalized.myshopify.com,Something Personalized,somethingpersonalized.ca,personalization,stationery_personalized,5,4,13,true,2200,2200,,Riley Stationery | Noah Stationery | Roxy Stationery
the-indigenous-collection.myshopify.com,Indigenous Collection and CAP & Winn Devon,www.indigenouscollection.com,category,note_cards,4,0,13,true,950,950,,Garden of Life Boxed Note Cards | Isaac Bignell Boxed Note Cards | In the Garden Boxed Note Cards
7bdd93-b4.myshopify.com,Lootie Patootie,www.lootiepatootie.com,personalization,stationery_personalized,4,2,13,true,2299,2299,,Abby Custom Stationery | Bella Custom Stationery | Jake Stationery
laddaccessories.myshopify.com,Ladd Stamps,laddstamps.com,personalization,cards_custom_name; monogram_notecards,4,4,13,true,3840,3840,Options (4),Custom Thank You Card (pack of 30) - Camille | Custom Thank You Card (pack of 30) - Chloe | Custom Thank You Card (pack of 30) - Katie & Joseph
realtors-printing.myshopify.com,Lauprint,realtors-printing.myshopify.com,sentence,sentence_cards,4,4,13,true,5562,5562,Envelope color (4); Quantity (4),Thank you Cards For Wedding | Thank you Cards For Wedding | Thank you Cards For Wedding
a-little-leafy.myshopify.com,A Little Leafy,alittleleafy.com,personalization,thank_you_personalized; cards_custom_name,3,3,13,false,1500,1500,Color (3),Thank You - Your Photo And Custom Text Print At Home Card | Thank You - Your Photo And Custom Text Print At Home Card | Thank You For Owl You've Done - Custom Text Print At Home Card
wild-bloom-design-studio.myshopify.com,Wild Bloom Design Studio,wildbloomdesignstudio.com,occasion,corporate_thank_you,3,3,13,true,600,600,,Boho Small Business Thank You Card | Thank You Card Template | Small Business Thank You Card | Editable Thank You Card Template | Boho Small Business Thank You Card | Editable Thank You Card Template
the-party-place-sarnia.myshopify.com,The Party Place,thepartyplace.ca,occasion,event_thank_you,3,0,13,true,1998,2998,,Country Blossom Thank You Notes | Floral Thank You Notes | Flourish Frame Thank You Notes
blackbirdvintagefinds.myshopify.com,Blackbird Vintage Finds,www.blackbirdvintage.com,category,stationery_cards,2,0,13,true,2495,2650,,Foil Pressed Bird with Gold Sprig Stationery Notecard Set | Iris Garden Notecard Set
one-and-only-handmade-marketplace.myshopify.com,One and Only Handmade Marketplace Inc.,oneandonlyshop.com,category,stationery_cards; note_cards,2,0,13,true,2000,2000,Little notes  (2),000 ($20) E Frances Paper - Little Notes® | 000 ($20) E Frances Paper - Little Notes®
sartorial-boutique.myshopify.com,THIS & THAT | FOR LIVING AND GIVING,www.shopthisandthat.ca,category,note_cards,2,0,13,true,2200,2200,,Little Notes - Big Heart | Little Notes - Dog Days
snapdragon-design.myshopify.com,Snapdragon Designs,snapdragondesigns.ca,category,note_cards,2,0,13,true,2150,2800,Style (1); Colour (1),"E. Frances Paper, Little Notes | E. Frances Paper, Flat Note set"
flauntcards.myshopify.com,Flaunt Cards,www.flauntshop.com,personalization,thank_you_personalized; cards_custom_name,2,0,13,true,700,700,,"""Thank You""  Bird on Flower | ""Thank You""  Bird on Flower"
girl-on-the-wing.myshopify.com,Girl on the Wing,girl-on-the-wing.myshopify.com,personalization,thank_you_personalized; cards_custom_name,2,0,13,true,800,800,Style (2),Thank You Cards | Thank You Cards
nutterie.myshopify.com,Nutterie,nutterie.com,personalization,thank_you_personalized; cards_custom_name,2,2,13,true,399,399,,Thank You Card - Customizable | Thank You Card - Customizable
1nbrst-sd.myshopify.com,Inkling,theinklingshop.ca,personalization,stationery_personalized,2,2,13,true,1999,3999,,Mini Vibe Box | Standard Vibe Box
creationz-by-saba.myshopify.com,Creationz By Saba,creationz-by-saba.myshopify.com,personalization,cards_custom_name,2,2,13,true,7000,13000,Style (2),50 Custom Thank You Cards & 50 Logo Sticker Bundle | Personalized Business Branding Kit | Packaging Insert Cards & Custom Logo Labels | 100 Custom Thank You Cards & 100 Logo Sticker Bundle | Personalized Business Branding Kit | Packaging Insert Cards & Custom Logo Labels
cutepixelshop.myshopify.com,Cute Pixels Shop,www.cutepixelshop.com,personalization,cards_custom_name,2,2,13,true,650,650,Size (2); Child's photo (1); Design (1); Digital/printed (1),Disney Thank You Card - Disney Characters Boy Card | Disney Characters - Thank you card
porchlight-press.myshopify.com,Porchlight Press Ltd.,porchlightpress.com,personalization,foil_cards,2,0,13,true,650,3200,Style (1); Single card or box set of 6 (1),Folder Set: West Coast Foraging Series Thank You Cards - Folder Set of 6 | Card: Many Thanks Flora & Fauna
ayoubs-corporate-gifting.myshopify.com,Ayoub's Corporate Gifting,ayoubsgifting.com,occasion,corporate_thank_you,2,0,13,true,300,300,,Green Thank you card | Brown Thank you card
poshparkmerch.myshopify.com,Posh Park,poshpark.net,occasion,corporate_thank_you,2,1,13,true,1200,2100,,"Set of 2 EDITABLE Purple Minimalist Small Business Thank You Card and Gift Certificate Bundle, Printable Thank You for Supporting My Small Business Card | Editable Minimalist Small Business Thank You Cards, DIY Thank You Card for Small Businesses, Printable Thank You Card Digital | PDF Thank You Cards"
claudiaowen.myshopify.com,Claudia Owen,claudiaowen.com,occasion,corporate_thank_you; event_thank_you,2,2,13,true,1500,3600,,"Custom Professional Thank You Notes,  Personalized Business Thank You Cards Template, Black and Gold Thank you Printable Cards, Corporate Appreciation Card Digital File | Business Party Invitation Set Editable Template, Save the Date Card, Thank You Note Digital Download, Welcome Sign for Corporate Event, Company Office Party Printable"
jacaranda-tree-co.myshopify.com,Jacaranda Tree & Co,www.jacarandatree.ca,occasion,event_thank_you,2,1,13,true,1800,1800,,Hummingbird Trellis Thank You Boxed Cards s/8 | Thank You Notes - Gold Calligraphy
creativejamco.myshopify.com,Templatables,www.templatables.com,sentence,sentence_cards,2,2,13,true,600,600,,VRBO Thank You Card for Hosts | Editable Welcome Card | Mono | Airbnb Thank You Card for Hosts | Editable Comment Card | Blue
9c6445-2.myshopify.com,Seeded Memories - WS,wholesale-seededmemories.myshopify.com,category,thank_you_cards,1,0,13,true,500,500,Product language (1),Thank you - For Helping Me Grow
ip3v01-6i.myshopify.com,Fern & Lilly Fine Gifts,fernandlilly.ca,category,thank_you_cards,1,0,13,true,1295,1295,,Garden Thanks Quilling Card
seeded-memories-9465.myshopify.com,SEEDED MEMORIES ,seededmemories.ca,category,thank_you_cards,1,0,13,true,700,700,Language (1); Amount of cards (1),Mini Card - Thank you!
fieldstudy-shop.myshopify.com,Fieldstudy,fieldstudyshop.com,category,thank_you_cards,1,0,13,true,800,800,,Desert Thank You
hanji-gifts.myshopify.com,Hanji Gifts,www.hanjigifts.com,category,thank_you_cards,1,0,13,true,1150,1150,Colour (1),Thank You Flower Wreath - Pop Up Card
joshua-and-company.myshopify.com,Joshua & Company,joshua-and-company.myshopify.com,category,stationery_cards,1,0,13,true,1599,1599,,Typewriter Note Cards
bloom-petals-gift.myshopify.com,Bloom Floral,bloomfloral.ca,category,stationery_cards,1,0,13,true,2400,2400,,Rainbow Swirl Stationery Set
thelemonadestand1.myshopify.com,The Lemonade Stand,thelemonadestand.ca,category,stationery_cards,1,0,13,true,2600,2600,,Floreale Stationery Set
theagstudio.myshopify.com,Alison Gordon Studio,www.theagstudio.com,category,stationery_cards,1,0,13,true,1040,1040,Size (1),Flora Stationery
la-quaintrelle.myshopify.com,La Quaintrelle,laquaintrelle.ca,category,note_cards,1,1,13,true,3000,3000,,Garden Flowers Paintable Notecards
the-social-type.myshopify.com,The Social Type,the-social-type.myshopify.com,category,note_cards,1,0,13,true,2300,2300,,Frankie the Whale Little Notes
indigenous-collection.myshopify.com,Indigenous Collection,theindigenouscollection.com,category,note_cards,1,0,13,true,2200,2200,,Benjamin Chee Chee Boxed Note Cards
folk-stock-and-trade.myshopify.com,Folk Stock and Trade,www.folkstockandtrade.com,category,note_cards,1,0,13,true,2395,2395,,Cupcake Little Notes
info-steelinghome-ca.myshopify.com,Steeling Home,www.steelinghome.ca,category,note_cards,1,0,13,true,2400,2400,,Pigeon A Little Note Boxed Notecard Set of 10
paperpluscloth.myshopify.com,Paper Plus Cloth,www.paperpluscloth.com,category,note_cards,1,0,13,true,790,790,,Classiky x Ten to Sen Letterpress Note Cards 20pc - Little Garden
lady-of-the-lake-brandon.myshopify.com,Lady of the Lake,ladyofthelakeshop.ca,personalization,thank_you_personalized,1,0,13,true,1999,1999,,Lavender & Honey - Notecard Set - Thank You
jillys-boutique-6653.myshopify.com,Jilly's Boutique,shopjillysboutique.com,personalization,thank_you_personalized,1,0,13,true,900,900,,Thank You Album Greeting Card
paboom-victoria.myshopify.com,PABOOM,paboom.com,personalization,thank_you_personalized,1,0,13,true,650,650,,Floral Thank You Card | Uniquely Shaped Greeting Cards
greetngrow.myshopify.com,Greet 'n Grow Plantable Cards,greetngrow.ca,personalization,thank_you_personalized,1,0,13,true,649,649,Seed type (1),Thank You Cards
pukkagifts.myshopify.com,My Happy Moments,www.myhappymoments.co.uk,personalization,thank_you_personalized,1,1,13,true,900,900,,Personalised Rainbow Thank You Card
if-its-paper-store.myshopify.com,If Its Paper Store,ifitspaper.org,personalization,stationery_personalized,1,1,13,true,12800,12800,Flat rate quantity (1),Personal Stationery - Patti
taylorswiftca.myshopify.com,Taylor Swift CA,storeca.taylorswift.com,personalization,stationery_personalized,1,1,13,true,7000,7000,,TTPD Stationery and Wax Seal Set
040324-3.myshopify.com,deaRrLive,whitestrawberri.com,personalization,stationery_personalized,1,1,13,true,2600,2600,,"Custom Design Stationery - Letter Size, A4, Personalize Paper, Thank You Note, Photos"
3d3eea-c0.myshopify.com,Nottawa Cottage Bookstore,nottawacottagebookstore.ca,personalization,stationery_personalized,1,0,13,true,800,800,,Mini letter paper & envelopes with stickers 942 dog
flair-necessities-2.myshopify.com,Augusta Joy,augustajoy.com,personalization,stationery_personalized,1,1,13,true,2600,2600,Quantity (1),Personalized Kids Heart Notepad
memories-made-custom.myshopify.com,Memories Made Custom,memoriesmade.ca,personalization,stationery_personalized,1,1,13,true,8500,8500,,Personalized Refillable Leather Journal – Custom Engraved Handcrafted Notebook
thehomiegnome.myshopify.com,Farmhouse for the Soul,farmhouseforthesoul.com,personalization,stationery_personalized,1,1,13,true,3500,3500,Size (1),Personalized Daisy Journal
ecomartists.myshopify.com,Personalized Drawing Gifts,ecomartists.myshopify.com,personalization,cards_custom_name,1,1,13,true,4233,4233,Card size (inches) (1); How many cards (1),Personalized Thank you Card
winterfield-studios.myshopify.com,Winterfield Studios,www.winterfieldstudios.com,personalization,cards_custom_name,1,1,13,true,1000,1000,,Flower Thank You Card - Greeting Card - handmade Card Using Alcohol Inks - Thank You Card For Her - Customer Thank You Card
travell-well.myshopify.com,ToonyVision,toonyvision.com,personalization,cards_custom_name,1,1,13,true,2200,2200,Message options 1-3: (1),Elegant Thank You eCard with Custom Message
